0,1.0599541664123535,"[-20.0, 10.0, 512.0]"
1,1.1101877689361572,"[-20.0, 10.0, 512.0]"
2,1.1700749397277832,"[-20.0, 10.0, 512.0]"
3,1.230025053024292,"[-20.0, 10.0, 512.0]"
4,1.2900259494781494,"[-20.0, 10.0, 512.0]"
5,1.3500194549560547,"[-20.0, 10.0, 512.0]"
6,1.4197707176208496,"[-20.0, 10.0, 512.0]"
7,1.4897336959838867,"[-20.0, 10.0, 512.0]"
8,1.549696683883667,"[-20.0, 11.0, 512.0]"
9,1.599910020828247,"[-20.0, 10.0, 512.0]"
10,1.6598641872406006,"[-20.0, 11.0, 512.0]"
11,1.719829797744751,"[-20.0, 10.0, 512.0]"
12,1.779789686203003,"[-20.0, 10.0, 512.0]"
13,1.8397438526153564,"[-20.0, 10.0, 512.0]"
14,1.8997373580932617,"[-20.0, 10.0, 512.0]"
15,1.9597060680389404,"[-20.0, 10.0, 512.0]"
16,2.0196733474731445,"[-20.0, 10.0, 512.0]"
17,2.079636812210083,"[-20.0, 10.0, 512.0]"
18,2.139610528945923,"[-20.0, 10.0, 513.0]"
19,2.2093451023101807,"[-20.0, 10.0, 513.0]"
20,2.2695765495300293,"[-20.0, 10.0, 513.0]"
21,2.329517364501953,"[-20.0, 10.0, 512.0]"
22,2.389475107192993,"[-20.0, 10.0, 512.0]"
23,2.459390878677368,"[-20.0, 10.0, 512.0]"
24,2.509453773498535,"[-20.0, 10.0, 513.0]"
25,2.5691637992858887,"[-20.0, 10.0, 511.0]"
26,2.6293792724609375,"[-19.0, 10.0, 512.0]"
27,2.699087619781494,"[-19.0, 11.0, 513.0]"
28,2.759284019470215,"[-20.0, 11.0, 513.0]"
29,2.819157838821411,"[-20.0, 10.0, 512.0]"
30,2.8890464305877686,"[-21.0, 10.0, 512.0]"
31,2.949042797088623,"[-20.0, 10.0, 512.0]"
32,2.999102830886841,"[-20.0, 10.0, 513.0]"
33,3.059053897857666,"[-20.0, 10.0, 512.0]"
34,3.1091413497924805,"[-20.0, 10.0, 512.0]"
35,3.169105291366577,"[-20.0, 10.0, 512.0]"
36,3.2290878295898438,"[-20.0, 10.0, 512.0]"
37,3.289062738418579,"[-20.0, 10.0, 512.0]"
38,3.3490705490112305,"[-20.0, 11.0, 512.0]"
39,3.408989191055298,"[-20.0, 10.0, 512.0]"
40,3.4689619541168213,"[-19.0, 10.0, 512.0]"
41,3.5289340019226074,"[-20.0, 10.0, 512.0]"
42,3.5889029502868652,"[-20.0, 10.0, 512.0]"
43,3.6488583087921143,"[-20.0, 10.0, 512.0]"
44,3.708839178085327,"[-20.0, 10.0, 512.0]"
45,3.7688307762145996,"[-20.0, 10.0, 512.0]"
46,3.828770160675049,"[-20.0, 10.0, 512.0]"
47,3.89875864982605,"[-20.0, 10.0, 512.0]"
48,3.9587249755859375,"[-20.0, 10.0, 512.0]"
49,4.018467903137207,"[-20.0, 10.0, 513.0]"
50,4.078646898269653,"[-20.0, 11.0, 513.0]"
51,4.138612985610962,"[-20.0, 9.0, 511.0]"
52,4.198635816574097,"[-19.0, 9.0, 512.0]"
53,4.258557319641113,"[-19.0, 9.0, 512.0]"
54,4.318530797958374,"[-20.0, 10.0, 512.0]"
55,4.398282051086426,"[-20.0, 10.0, 512.0]"
56,4.448470830917358,"[-20.0, 10.0, 512.0]"
57,4.508415699005127,"[-20.0, 9.0, 512.0]"
58,4.568384885787964,"[-20.0, 10.0, 512.0]"
59,4.62813138961792,"[-20.0, 9.0, 512.0]"
60,4.678325891494751,"[-20.0, 10.0, 512.0]"
61,4.738294839859009,"[-20.0, 10.0, 512.0]"
62,4.798259973526001,"[-20.0, 9.0, 512.0]"
63,4.858213901519775,"[-20.0, 9.0, 512.0]"
64,4.9279704093933105,"[-20.0, 10.0, 512.0]"
65,4.9979329109191895,"[-20.0, 10.0, 512.0]"
66,5.048025608062744,"[-20.0, 10.0, 512.0]"
67,5.098117351531982,"[-20.0, 9.0, 512.0]"
68,5.158068895339966,"[-20.0, 10.0, 512.0]"
69,5.218086004257202,"[-20.0, 10.0, 512.0]"
70,5.27805233001709,"[-20.0, 10.0, 512.0]"
71,5.337972164154053,"[-20.0, 10.0, 513.0]"
72,5.397939682006836,"[-20.0, 10.0, 512.0]"
73,5.467953681945801,"[-20.0, 9.0, 511.0]"
74,5.5278966426849365,"[-20.0, 9.0, 511.0]"
75,5.597612142562866,"[-19.0, 10.0, 512.0]"
76,5.6575822830200195,"[-20.0, 9.0, 512.0]"
77,5.707792520523071,"[-20.0, 10.0, 511.0]"
78,5.767737865447998,"[-20.0, 10.0, 512.0]"
79,5.827718496322632,"[-20.0, 9.0, 511.0]"
80,5.897704601287842,"[-20.0, 10.0, 513.0]"
81,5.957653760910034,"[-19.0, 10.0, 513.0]"
82,6.017616033554077,"[-20.0, 9.0, 512.0]"
83,6.087580680847168,"[-20.0, 9.0, 512.0]"
84,6.147538185119629,"[-21.0, 9.0, 511.0]"
85,6.207518100738525,"[-20.0, 10.0, 512.0]"
86,6.267485857009888,"[-19.0, 10.0, 512.0]"
87,6.337485074996948,"[-19.0, 10.0, 512.0]"
88,6.397442817687988,"[-20.0, 10.0, 512.0]"
89,6.4573891162872314,"[-20.0, 9.0, 512.0]"
90,6.5173516273498535,"[-20.0, 9.0, 511.0]"
91,6.587319850921631,"[-20.0, 10.0, 512.0]"
92,6.647310972213745,"[-20.0, 10.0, 512.0]"
93,6.707247018814087,"[-20.0, 10.0, 512.0]"
94,6.777026891708374,"[-20.0, 10.0, 512.0]"
